"Date","Page Name [v55] (evar55)","CTA Button Text [v59] (evar59)","General Click [v56] (evar56)","Unique Visitor ID [v78] (evar78)","Connect Page Interaction [e165] (event165)","Connect Master CTA Click [e167] (event167)","Filter Interaction [e152] (event152)"
"October 11, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Kontoauszug","8807209795588",1,0,0
"October 11, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Übersicht Rechnungsreklamation","8805701550084",0,0,0
"October 11, 2023","DISPUTES","Header-Menu-Clicks","Header-Menu-Clicks: Übersicht Rechnungsreklamation","8807209795588",0,0,0
"October 11, 2023","DISPUTES","Invoice","Invoice:More Info 1196569775","8805701550084",1,0,0
"October 11, 2023","DISPUTES","More Details","More Details:1197310119","8805701550084",0,1,0
"October 11, 2023","DISPUTES","More Details","More Details:1197691312","8807209795588",0,1,0
"October 11, 2023","ITCACCOUNTSTATEMENT","","","8811697963012",1,0,0
"October 11, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8805701550084",0,2,0
"October 11, 2023","ITCACCOUNTSTATEMENT","CTA","CTA:Filter CTA","8810155048964",0,1,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Error","ITCACCOUNTSTATEMENT:Error: Internal Server Error","8810155048964",0,1,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Historie (Bericht)","8807209795588",2,0,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Kontoauszug","8805701550084",0,0,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Kontoauszug","8807209795588",0,0,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Header-Menu-Clicks","Header-Menu-Clicks: Shipments","8805369479172",0,0,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8805369479172",2,0,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Home","Home:Widget: Account Financial","8811697963012",1,0,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Login","Login Success: Login_External : 2023-10-11T07:22:51.801Z","8805701550084",1,0,0
"October 11, 2023","ITCACCOUNTSTATEMENT","Statement of Account","Filter Applied:View All Accounts: Turned On","8810155048964",0,0,1
"October 11, 2023","ITCACCOUNTSTATEMENT","View Dashboard","View Dashboard:Dashboard Viewed","8805369479172",1,0,0
"October 11, 2023","ITCHISTORYREPORT","","","8807209795588",1,0,0
"October 11, 2023","ITCHISTORYREPORT","CTA","CTA:Filter CTA","8805701550084",1,0,0
"October 11, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Historie (Bericht)","8805701550084",0,0,0
"October 11, 2023","ITCHISTORYREPORT","Header-Menu-Clicks","Header-Menu-Clicks: Historie (Bericht)","8807209795588",0,0,0
"October 11, 2023","ITCHISTORYREPORT","Invoice","Invoice:More Info 1196569775","8805701550084",0,1,0
"October 11, 2023","ITCHISTORYREPORT","View Dispute","View Dispute:100002842679","8807209795588",1,0,0
